Surname
(ACHARYA)
(ADHIKARI)
(ALE)
(ARYAL)
(BADAHI)
(BAHING)
(BANJARA)
(BARAILI)
(BASHYAL)
(BASNET)
(BASTOLA)
(BHANDARI)
(BHATTA)
(BHATTARAI)
(BHATTRAI)
(BHOTE)
(BISHWAKARMA)
(BISTA)
(BISWOKARMA)
(BK)
(BOHARA)
(BOMJAN)
(BUDATHOKI)
(BUDHATHOKI)
(CHALISE)
(CHAND)
(CHAULAGAIN)
(CHHETRI)
(DAHAL)
(DAMAI)
(DANGAL)
(DEUJA)
(DEVKOTA)
(DHAKAL)
(DHUNGANA)
(DULAL)
(GAUTAM)
(GHALAN)
(GHIMIRE)
(GHORASAINI)
(GIRI)
(GM)
(HAMAL)
(HUMAGAIN)
(HYOLMO)
(JAISHI)
(JOSHI)
(JYAPU)
(KAMI)
(KARKI)
(KARMACHARYA)
(KATTEL)
(KATUWAL)
(KATWAL)
(KAWAR)
(KAYASTHA)
(KC)
(KHADKA)
(KHAKURAL)
(KHANAL)
(KHATRI)
(KIRAT)
(KUIKEL)
(KUNWAR)
(LAMA)
(LAMICHHANE)
(LIMBU)
(LOHALA)
(LOHAR)
(MAGAR)
(MAINALI)
(MANANDHAR)
(MANDAL)
(MISHRA)
(MOKTAN)
(NAGARKOTI)
(NEPAL)
(NEPALI)
(NIRAULA)
(PANDAY)
(PANDEY)
(PANTA)
(PARAJULI)
(PARIYAR)
(PAUDEL)
(PODE)
(POKHREL)
(POUDEL)
(PRADHAN)
(PUNUWAR)
(RAI)
(RANA)
(RANABHAT)
(RAYMAJHI)
(REGMI)
(ROKKA)
(RUMBA)
(SAINJU)
(SAPKOTA)
(SHAHI)
(SHAKYA)
(SHARMA)
(SHERPA)
(SHRESTHA)
(SHRESTHA)NEWAR
(SIGDEL)
(SIMKHADA)
(SINGH)
(SUNAR)
(SYANGTAN)
(TAMANG)
(THAPA)
(THARU)
(THOKAR)
(TIMILSINA
(UPADHAYA)
(UPADHAYAY)
(UPADHYAYA)
(UPRETY)
(YHONZON)
(YOGI)
(YONJAN)
)
AACHAJU
AACHAMI
AACHARYA
AAGRI
AAJAM
AALAM
AALE
AALEMAGAR
AANAND
AANGATHUPO
AANGDEMBE
AARA
AARIF
AARIFADIN
AARYAL
AARYAN
AATREYA
AAZAM
ABDULAH
ABDULLA
ABDULLAH
ABHIDUWAEE
ABISHEK
ABULAIS
AC
ACCHAMI
ACHAMI
ACHARAYA
ACHARJU
ACHARY
ACHARYA
ACHARYA(PADHYA)
ACHARYAA
ACHAYA
ACHAYRA
ACHHAME
ACHHAMI
ACHHMI
ADAI
ADAK
ADEEL
ADHAKARI
ADHAKARI(KHADKA)
ADHAKARIKHDKA
ADHIAKARI
ADHIAKRI
ADHIKAREE
ADHIKARI
ADHIKARI(CHHETRI)
ADHIKARI(LAMA)
ADHIKARI)
ADHIKARIKC
ADHIKARIPYASI
ADHIKARY
ADHIKHARI
ADHIKRI
ADIHIKARI
ADIKARI
ADUKIA
AERI
AFFAN
AFROZ
AFTAB
AGARWAL
AGASTI
AGGARWAL
AGGRAWAL
AGRAHARI
AGRAWA
AGRAWAL
AGRI
AHAMAD
AHAMADANSARI
AHAMD
AHAMDI
AHDIKARI
AHIR
AHMAD
AHMED
AHRESTHA
AHSANULLAH
AIDEE
AIDI
AIDY
AIJAZ
AIR
AIREE
AIRI
AIRY
AJAD
AJAM
AJRUDDIN
AJRUDIN
AKARAM
AKBAL
AKCHAI
AKHATAR
AKHLAKH
AKHTAR
AKMAL
AKRAM
AKTAR
AKTHAR
ALAI
ALAM
ALE
ALE(MAGAR)
ALEE
ALEMAGAR
ALEY
ALEYMAGAR
ALI
ALLAM
ALLU
AMAM
AMAR
AMAT
AMATYA
AMATYA(SHRESTHA)
AMGAI
AMGAIN
AMMAI
AMUGAI
ANAND
ANCHHANGBO
ANGA
ANGAMI
ANGBO
ANGBUHANG
ANGBUHANG(LIMBU)
ANGCHHANBO
ANGDAMBE
ANGDEMBAY
ANGDEMBE
ANGDEMDE
ANGDENBE
ANGELES
ANGKHEWA
ANGTHUPO
ANSAR
ANSARI
ANSARUL
ANSARY
ANSHARI
ANWAR
APAGAI
APAGAIN
ARAN
ARCHER
ARGEJA
ARIF
ARJEL
ARJYAL
ARMAJA
ARMAN
ARTETA
ARYA
ARYAL
ARYALBARAL
ARYAN
ARYEL
ASARPATI
ASATANI
ASDULLAH
ASGAR
ASHAB
ASHIK
ASHRAF
ASLAM
ASLAMI
ASLEUDDIN
ASMAILI
ASPHAK
ASRAF
ASTANI
ATA
ATAL
ATAULLAH
ATIULLAH
ATREYA
ATRI
ATTREYA
AUJEE
AUJI
AVIRALASHU
AWAAL
AWAL
AWALE
AWASTHI
AYAAN
AYADI
AYER
AYUB
AZAD
AZAM
BAAG
BABAR
BABLI
BABU
BACHHAD
BACHHAR
BACHKAI
BADA
BADAE
BADAHI
BADAI
BADAILA
BADAL
BADALGHIMIRE
BADAWAL
BADAYAK
BADE
BADHAHI
BADHAI
BADHI
BADHIKAR
BADHUWAL
BADI
BADIKAR
BADIYA
BADU
BADUWAL
BADWAL
BAESSA
BAFNA
BAG
BAGADI
BAGAL
BAGALE
BAGARIA
BAGBAL
BAGCHAN
BAGDAS
BAGDASH
BAGLA
BAHADUR
BAHANDARI
BAHETI
BAHETY
BAHIK
BAHORA
BAHSYAL
BAIDAR
BAIDAWAR
BAIDHYA
BAIDYA
BAIGAR
BAIJALI
BAIJI
BAIJLU
BAIJU
BAIRAGI
BAISALI
BAISHNAB
BAISHNAV
BAISHYA
BAISNAV
BAISYA
BAITE
BAITHA
BAIZU
BAJAGAI
BAJAGAIN
BAJAJ
BAJASAIN
BAJCHARAYA
BAJGAAI
BAJGAI
BAJGAIN
BAJI
BAJIMAYA
BAJORIA
BAJPAI
BAJRACHARYA
BAJRACHRAYA
BAJRACHRYA
BAJU
BAJURALI
BAJYU
BAKABAL
BAKAR
BAKELS
BAKHAREL
BAKHARIYA
BAKHATI
BAKHREL
BAKHU
BAKHUNCHHE
BAL
BALA
BALAL
BALAMAI
BALAMI
BALAMPAKHI
BALAMPAKI
BALAMPANKHI
BALAY
BALAYA
BALAYAR
BALLA
BALON
BALPA
BAM
BAM(CHAND)
BAMGAN
BAMJAN
BAMMA
BAMMALLA
BAMREL
BAN
BANA
BANDARI
BANET
BANG
BANIYA
BANJADAY
BANJADE
BANJARA
BANKABAL
BANMALA
BANO
BANPURI
BANSAL
BANSAR
BANSHAL
BANSKOTA
BANSTOLA
BANTAWA
BANTHA
BANTOLA
BANU
BAR
BARAEI
BARAELI
BARAGHARE
BARAHI
BARAI
BARAILE
BARAILEE
BARAILI
BARAILY
BARAKOTI
BARAL
BARALI
BARAM
BARAMU
BARANWAL
BARASAINI
BARAYAL
BARAYLE
BARDEWA
BARGHARE
BARHI
BARI
BARIYA
BARLA
BARMA
BARMASAKHA
BARMASHAKA
BARMASHAKHA
BARME
BARNAWAL
BARNWAL
BARTAULA
BARTOULA
BARUN
BARUWAL
BARWAL
BARYAL
BASANET
BASANTA
BASAULA
BASEL
BASENT
BASHEL
BASHISTHA
BASHNET
BASHOULA
BASHYAL
BASI
BASKOTA
BASKOTI
BASNET
BASNET(SHRESTHA)
BASNET)
BASNYAT
BASNYET
BAST
BASTAKOTI
BASTAKOTY
BASTOLA
BASU
BASUKALA
BASYAL
BATA
BATAJU
BATALA
BATHA
BATHAMAGAR
BATHLA
BATHWAL
BATRA
BAYAK
BAYALAKOTEE
BAYALAKOTI
BAYALKOTI
